oblast_or_country,pcode,# total population,# female population,# male population,# female younger population (0 - 14 years),# male younger population (0 - 14 years),# total younger population (0 - 14 years),# female older population (60 years and up),# male older population (60 years and up),# total older population (60 years and up),# registered IDPs,# people exposed,# people affected,# people in need,# people in level 1 humanitarian condition,# people in level 2 humanitarian condition,# people in level 3 humanitarian condition,# people in level 4 humanitarian condition,# people in level 5 humanitarian condition,# km² landmass affected,# km² controlled by Ukrainian authorities/forces,# km² controlled by Russian forces,# km² unconfirmed control,# battles,# explosions/remote violence,# violence against civilians,# fatalities,# civilian fatalities,# civilian injuries,# total infrastructure damage,# total access events,# unemployed people,period
Luhanska,UA44,2098324,1136515,961809,91298,98018,189316,436762,256423,693185,282493,2098324,1056000,1056000,1042324,0,0,0,0,26688,1163,25354,171,66,186,7,565,0,0,83,20,6448,Mar2022
Lvivska,UA46,2459763,1294772,1164991,192773,203584,396357,343762,206012,549774,11244,2459763,0,0,0,0,0,0,0,21824,21824,0,0,0,4,1,35,0,0,8,8,12105,Mar2022
Mykolaivska,UA48,1091106,584957,506149,79731,85170,164901,170974,95197,266171,8316,1091106,0,0,0,0,0,0,0,24016,23885,119,12,30,42,6,257,0,0,8,2,12390,Mar2022
Odeska,UA51,2340332,1237452,1102880,189998,203812,393810,333832,194370,528202,38602,2340332,0,0,0,0,0,0,0,33348,33348,0,0,0,32,2,4,0,0,0,0,12227,Mar2022
Poltavska,UA53,1344445,722656,621789,91171,97568,188739,219156,120834,339990,22643,1344445,0,0,0,0,0,0,0,28723,28723,0,0,2,0,0,10,0,0,0,2,17156,Mar2022
Rivnenska,UA56,1140724,598625,542099,111755,117385,229140,138715,81699,220414,3022,1140724,0,0,0,0,0,0,0,20053,20053,0,0,0,10,0,9,0,0,3,4,10499,Mar2022
Sumska,UA59,1033580,558993,474587,64296,68282,132578,177893,100633,278526,11247,1033580,0,0,0,0,0,0,0,23842,23742,100,0,34,54,12,130,0,0,6,28,12528,Mar2022
Ternopilska,UA61,1018462,541302,477160,76461,80396,156857,147742,86344,234086,2159,1018462,0,0,0,0,0,0,0,13833,13833,0,0,0,0,0,0,0,0,0,4,7894,Mar2022
Vinnytska,UA05,1502430,805537,696893,110508,117742,228250,238346,134465,372811,11311,1502430,0,0,0,0,0,0,0,26491,26491,0,0,0,3,1,9,0,0,2,6,17813,Mar2022
Volynska,UA07,1018628,537725,480903,95205,101245,196450,129037,73972,203009,3105,1018628,0,0,0,0,0,0,0,20149,20149,0,0,0,2,0,4,0,0,2,5,7916,Mar2022
Zakarpatska,UA21,1241643,644559,597084,117513,124691,242204,141186,88706,229892,3368,1241643,0,0,0,0,0,0,0,12758,12758,0,0,0,0,0,0,0,0,0,5,4261,Mar2022
Zaporizka,UA23,1637673,889959,747714,112990,119983,232973,277337,147331,424668,56284,1637673,0,0,0,0,0,0,0,27180,6795,20385,0,39,48,43,219,0,0,6,17,14233,Mar2022
Zhytomyrska,UA18,1179801,629467,550334,92406,98146,190552,179745,98703,278448,7057,1179801,0,0,0,0,0,0,0,29839,29839,0,0,12,54,0,59,0,0,15,9,11338,Mar2022
Cherkaska,UA71,1157115,624475,532640,75552,81536,157088,196700,110769,307469,10784,1157115,244000,244000,913115,0,244000,0,0,20940,20940,0,0,0,1,0,0,0,0,13,2,14956,Apr2022
Chernihivska,UA74,950773,518447,432326,61356,64084,125440,174896,90800,265696,7315,950773,672000,672000,278773,0,672000,0,0,31895,31895,0,0,6,17,1,19,0,0,171,20,9975,Apr2022
